depth,d34S
1280.17,15.86
1280.67,16.13
1300,18.44
1300.17,15.72
1303,17.05
1303.92,15.6
1304.67,16.4
1305.17,18.22
1306.67,16.72
1309,15.98
1310.08,16.14
1311,16.87
1312.08,16.85
1313,16.85
1316.42,16.99
1319,16.49
1320.67,16.61
1322.33,16
1327,16.26
1328.58,16.81
1334,15.47
1335.42,15.94
1340.42,14.99
1342.17,15.06
1345.67,14.43
1347.08,14.02
1350.5,14.51
1352,14.14
1357,14.62
1364,13.4
1365.67,13.65
1368,14.23
1370,14.85
1375,14.47
1379,14.92
1383.25,14.7
1389.5,15.11
1396,14.29
1397.92,14.89
1402,14.91
1405,14.81
1413.67,15.01
1416.17,15.06
1419.5,16.07
1421.25,15.9
1430.67,16.02
1431.25,15.65
1433.25,15.47
1453.08,15.2
1456.67,15.58
1472,15.57
1479.25,16.61
1480.33,16.21
1489.5,16.02
1492.25,16.14
1494,16.14
1494.25,15.73
1501,16.49
1507.58,15.8
1510.5,15.92
1517.33,15.9
1519,15.89
1520.17,16.25
1530.75,14.96
1532,14.31
1534,15.03
1538.08,15.27
1548.17,16.19
1549.42,16.34
1551.58,17.53
1553.08,16.39
1558.83,16.13
1561.67,15.59
1583,17.17
1587.58,19.06
1588.17,16.65
1589.58,18.27
1592,17.04
1593.25,18.21
1594.75,17.5
1596.67,18.19
1599.33,17.21
1602.42,16.75
1605,16.99
1616,15.8
1618,17.9
1620,17.33
1622,18.18
1625.75,17
1626.33,17.36
1628.5,18.49
1634.92,17.13
1638.58,18.45
1640.67,17.17
1641.08,16.84
1649.42,18.1
1664,18.94
1667.83,18.39
1680.17,17.36
1681,17.81
1692,17.83
1698,18.07
1703.75,18.15
1709.75,18.14
1717,18.75
1725.25,18.1
1729.67,20.3
1736.17,18.82
1738.67,18.6
1739,19.6
1742.42,20.53
1745.25,18.56
1746,20.25
1747.58,18.67
1750.67,19.65
1753.08,18.67
1753.83,18.83
1756,18.97
1757.5,18.55
1758.33,18.48
1760.42,19
1762.5,19.25
1763.58,19.13
1764.67,19.74
1765.75,19.47
1769.67,19.68
1771,19.33
1774.08,19.48
1776,19.42
1781.42,19.81
1783,19.37
1784,19.88
1786.08,20.37
1787.08,20.36
1787.5,19.4
1791.5,19.06
1794,19.02
1796,19.68
1796.92,20.39
1814,20.48
1818,19.56
1825.33,19.4
1825.92,20.25
1828,19.85
1830.33,20.01
1841,19.68
1846.92,20.06
1847.25,19.97
1849.25,20.05
1850.08,19.79
1851.42,20.2
1854.42,18.62
1856,20.13
1857.83,20.13
1858.83,20.16
1864.67,20.37
1874,20.79
1875,19.68
1895.42,20.22
1914,21.32
1920.5,21.49
1927,22.59
1936,20.85
1941,21.52
1958,21.12
1959.33,21.33
1960.33,21.56
1962.75,21.93
1963.25,21.15
1964,20.11
1964.42,20.81
1965.58,21.47
1978.42,22.4
1979.4,23.33
1985.58,22.87
1995.42,23.04
1998.67,24.58
2004,24.92
2006.75,24.29
2009,24.38
2010.75,24.54
2015,24.94
2026.25,28.43
2030.83,26.28
2046.67,26.23
2049,26.69
2062.17,26.84
2064,27.7
2068.75,24.26
2069.75,22.72
2071,18.54
2071.58,22.94
2073.5,18.47
2073.92,18.85
2074.42,17.47
2075.5,17
2076.5,16.2
2076.75,16.18
2077.5,17.7
2078.17,16.86
2078.83,16.84
2079,16.15
2080.52,15.99
2080.75,16.33
2081.5,15.52
2083,15.67
2084.25,16.2
2085.33,17.29
2087.08,16.44
2088.83,17.66
2096,15.74
2101,15.68
2105,16.18
2111.67,15.47
2157.33,14.34
2181,14.92
2214.83,10.78
2272,12.8
2359,12.35
2403.17,11.14
2461,10.97
2682,12.16
2874.42,10.78
2881.58,10.04
2882.25,10.65
2893.83,10.94
2894.25,11.46
2894.83,10.45
2896,11.04
2936.33,9.57
2936.92,10
2939.33,10.27
2943.83,9.67
2960,9.97
2990,9.83
2994.42,10.54
2995.42,10.49
3022.25,10.13
3023.83,8.98
3074.08,8.87
3074.25,9.38
3077.5,8.81
3078,8.43
3079.75,8.66
3103.83,8.9
3108.25,7.51
3108.5,7.99
3116.25,11.64
3131.67,11.74
3149,9.86
3150.33,11.49
3156,11.2
3163.5,10.63
3165,11.46
3165.67,10.93
3166.58,11.03
3171.42,12.02
3174.25,11.46
3181.17,13.59
3182,13.06
3185,14.25
3188.5,10.45
3194.58,9.13
3195.75,9.77
3198.42,7.99
3206.08,8.94
3208,8.84
3214.67,9.61
3214.83,9.57
3215.75,7.94
3217.58,9.13
3225.17,10.97
3226.67,10.45
3228,10.21
3246.33,10.98
3251.92,9.86
3253.67,8.54
3253.83,8.32
3254.92,8.91
3258.33,9.34
3258.75,9.55
3267.75,8.7
3269.5,8.5
3273.25,7.66
3275.42,8.56
3277.5,7.86
3282.42,8.71
3285.33,7.9
3289,9.68
3293.67,10.74
3297.5,10.46
3297.58,12.86
3303.75,11.27
3306.5,11.21
3310,11.59
3315,11.52
3315.5,11.02
3318.5,10.74
3324.5,10.08
3324.67,10.67
3326.5,10.29
3328,11.19
3335.92,11.87
3337.5,9.2
3340.92,7.93
3345,7.41
3349,7.47
3352,7.04
3355,7.12
3360,8.15
3370.67,8.89
3372.92,10.06
3374,10.24
3376,9.42
3381.75,9.78
3383.5,10.02
3384.58,9.56
3392,9.4
3402.33,9.95
3405,10.14
3406,9.97
3407,10.14
3411.17,10.1
3416.83,9.81
3418.92,10.9
3429.42,10.63
3435.25,10.08
3435.92,11.13
3436.5,10.76
3437,11.15
3438.5,10.87
3439.92,10.62
3441.5,10.2
3443,10.34
3445.25,10.49
3446,10.42
3446.67,10.09
3448,10.68
3448.5,11.01
3454,10.06
3455.75,9.39
3455.83,9.72
3456,9.66
3456.5,9.25
3456.92,8.91
3457.42,9.24
3458,8.91
3458.42,8.5
3459,9.99
3462,8.4
3463,9.04
3464,9
3464.5,9.09
3465,8.96
3465.42,9.04
3466,9.09
3466.17,9.31
3467,9.38
3468.75,9.38
3469.17,8.86
3470.75,9.39
3470.83,9.22
3471.33,9.47
3472,9.36
